Time,Level,Temp,Voltage,Current_uA,WiFi_RSSI,Brightness,Screen_State,CPU_Sum_UserSys 
15:08:53,90,304,4061,N/A,-78,78,Awake,38
15:09:56,90,299,4068,N/A,-72,78,Awake,296
15:10:59,90,300,4034,N/A,-70,86,Awake,145
15:12:01,89,303,4027,N/A,-65,86,Awake,69
15:13:03,89,303,4027,N/A,-63,86,Awake,66
15:14:05,89,300,4056,N/A,-70,86,Dozing,69
15:15:07,89,299,4076,N/A,-70,86,Dozing,30
15:16:09,89,296,4079,N/A,-61,85,Awake,52
15:17:11,89,296,4047,N/A,-62,85,Awake,159
15:18:12,88,297,4025,N/A,-63,85,Awake,65
15:19:14,88,297,4025,N/A,-61,85,Awake,104
15:20:16,88,296,3992,N/A,-66,79,Awake,24
15:21:19,88,296,3992,N/A,-63,86,Awake,83
15:22:21,88,296,3992,N/A,-70,78,Awake,24
15:23:23,87,297,4043,N/A,-62,78,Awake,21
15:24:25,87,297,4043,N/A,-57,78,Awake,27
15:25:29,87,297,4043,N/A,-50,78,Awake,43
15:26:33,87,298,3990,N/A,-66,86,Awake,135
15:27:35,86,299,4014,N/A,-63,86,Awake,74
15:28:37,86,299,4014,N/A,-65,86,Awake,175
15:29:39,86,299,4014,N/A,-59,86,Awake,187
15:30:41,86,300,3994,N/A,-62,86,Awake,197
15:31:43,85,302,3983,N/A,-60,86,Awake,186
15:32:44,85,302,3983,N/A,-66,86,Awake,52
15:33:46,85,302,3983,N/A,-64,86,Awake,55
15:34:48,85,302,3983,N/A,-67,86,Awake,169
15:35:50,84,304,3987,N/A,-67,78,Awake,76
15:36:52,84,299,3979,N/A,-57,78,Awake,63
15:37:54,84,299,3979,N/A,-61,59,Awake,200
15:38:56,83,311,3879,N/A,-65,79,Awake,232
15:40:02,N/A,N/A,N/A,N/A,N/A,N/A,Unknown,0
15:40:17,82,321,3807,N/A,-63,142,Awake,245
15:41:33,81,330,3864,N/A,-65,142,Awake,180
15:42:39,80,340,3827,N/A,-74,102,Awake,286
15:43:41,79,350,3808,N/A,-60,128,Awake,286
15:44:01,78,360,3914,N/A,-61,142,Dozing,110
15:45:04,78,359,3948,N/A,-61,142,Dozing,137
15:46:07,78,355,3950,N/A,-57,142,Dozing,72
15:47:09,78,344,3962,N/A,-57,142,Dozing,31
15:48:11,78,339,3966,N/A,-57,142,Dozing,84
15:49:13,78,339,3966,N/A,-57,142,Dozing,117
15:50:15,78,329,3947,N/A,-75,133,Awake,223
15:51:17,77,329,3929,N/A,-73,133,Awake,237
15:52:19,77,329,3929,N/A,-72,133,Awake,213
15:53:21,77,329,3929,N/A,-74,133,Awake,210
15:54:23,76,328,3918,N/A,-78,133,Awake,228
15:55:25,76,328,3918,N/A,-76,227,Awake,88
15:56:28,76,328,3931,N/A,-79,227,Awake,60
15:57:30,75,325,3935,N/A,-60,227,Awake,69
15:58:32,75,325,3935,N/A,-64,227,Awake,187
15:59:34,75,325,3935,N/A,-64,167,Awake,151
16:00:36,74,319,3898,N/A,-61,223,Awake,197
16:01:40,74,319,3898,N/A,-59,223,Awake,217
16:02:45,74,319,3898,N/A,-58,223,Awake,237
16:03:48,73,316,3903,N/A,-60,221,Awake,262
16:04:50,73,316,3903,N/A,-59,166,Awake,79
16:05:53,73,316,3903,N/A,-63,166,Awake,76
16:06:56,72,315,3887,N/A,-64,213,Awake,236
16:07:58,72,315,3887,N/A,-66,255,Awake,68
16:09:00,72,315,3887,N/A,-63,38,Awake,325
16:10:03,71,320,3904,N/A,-64,42,Awake,131
16:11:06,71,320,3877,N/A,-63,29,Awake,27
16:12:08,71,319,3910,N/A,-63,29,Awake,66
16:13:11,71,319,3910,N/A,-63,29,Awake,30
16:14:13,71,309,3910,N/A,-62,29,Awake,46
16:15:20,70,303,3900,N/A,-64,29,Awake,110
16:16:22,70,302,3909,N/A,-59,29,Awake,27
16:17:24,70,302,3909,N/A,-70,28,Awake,30
16:18:26,70,301,3910,N/A,-69,23,Dozing,94
16:19:29,70,301,3910,N/A,-69,23,Dozing,62
16:20:31,70,301,3910,N/A,-69,23,Dozing,97
16:21:34,70,299,3911,N/A,-69,23,Dozing,52
16:22:37,70,299,3911,N/A,-69,23,Dozing,27
16:23:41,69,294,3895,N/A,-63,28,Awake,49
16:24:44,69,294,3895,N/A,-64,28,Awake,42
16:25:47,69,289,3894,N/A,-58,28,Awake,35
16:26:50,69,286,3899,N/A,-61,27,Dozing,65
16:27:56,69,286,3899,N/A,-61,27,Dozing,143
16:29:01,69,283,3898,N/A,-61,27,Dozing,30
16:30:08,69,283,3902,N/A,-66,27,Awake,66
16:31:53,68,282,3798,N/A,-71,26,Awake,58
16:32:55,68,282,3798,N/A,-72,26,Awake,25
16:33:56,68,280,3888,N/A,-76,27,Dozing,35
16:34:58,68,277,3892,N/A,-76,27,Dozing,64
